Student Name,House,Year,Wand Type,Pet,Potions Grade,Defense Against the Dark Arts Grade,Transfiguration Grade,Spells Learned,Quidditch Position,Points Earned for House,Detentions,Participation in Dueling Club,Triwizard Tournament Involvement,Items Owned,Knuts Spent in Hogsmeade,Attendance at Classes,Magical Accidents
,Hufflepuff,6,"9 inches, elm, veela hair core",Cat,Exceeds Expectations,Poor,Poor,26,Beater,143,1,Yes,Yes,"Time-Turner, Extendable Ears",3,81,6
Fred Weasley,Ravenclaw,3,"12 inches, yew, unicorn hair core",Cat,Exceeds Expectations,Exceeds Expectations,Acceptable,30,,179,2,No,No,"Invisibility Cloak, Sneakoscope, Time-Turner",388,57,1
,Hufflepuff,2,"11 inches, holly, phoenix feather core",Dragon,Acceptable,Poor,Outstanding,29,Seeker,-37,0,No,Yes,"Sneakoscope, Marauder's Map",114,59,7
,Gryffindor,6,"11 inches, holly, phoenix feather core",,Exceeds Expectations,Exceeds Expectations,Poor,20,Beater\,-38,1,Yes,No,"Time-Turner, Sneakoscope",202,40,7
Katie Thomas,Hufflepuff,6,"9 inches, elm, veela hair core",Toad,Outstanding,Outstanding,Acceptable,14,Keeper,-77,3,No,Yes,Extendable Ears,49,42,5
George Boot,HUFFLEPUFF,2,"12 inches, yew, unicorn hair core",Owl,Exceeds Expectations,Poor,Exceeds Expectations,29,Seeker,-17,5,No,No,Sneakoscope,474,55,2
,GRYFFINDOR,4,"10 inches, oak, dragon heartstring core",Muggle Born,Poor,Acceptable,Exceeds Expectations,9,Beater,-44,5,Yes,No,"Invisibility Cloak, Extendable Ears, Firebolt",475,28,5
Blaise Johnson,Slytherin,2,"12 inches, yew, unicorn hair core",Toad,Exceeds Expectations,Acceptable,Exceeds Expectations,10,Chaser,10,5,Yes,No,"Marauder's Map, Sneakoscope, Firebolt",216,79,5
George Granger,GRYFFINDOR,7,"11 inches, holly, phoenix feather core",Toad,Exceeds Expectations,Acceptable,Outstanding,22,,177,2,No,No,"Marauder's Map, Time-Turner, Invisibility Cloak",339,97,9
Harry Lovegood,Gryffindor,4,"12 inches, yew, unicorn hair core",Owl,Poor,Exceeds Expectations,Poor,22,Seeker,-15,1,Yes,,Marauder's Map,242,34,0
Harry Boot,GRYFFINDOR,7,"12 inches, yew, unicorn hair core",Muggle Born,Poor,Poor,Poor,16,Beater,74,4,Yes,No,"Sneakoscope, Extendable Ears, Time-Turner",496,43,6
Luna Zabini,Slytherin,3,"12 inches, yew, unicorn hair core",Muggle Born,Outstanding,Acceptable,Poor,23,Seeker,-10,5,Yes,Yes,"Invisibility Cloak, Extendable Ears",23,66,5
,Slytherin,5,"9 inches, elm, veela hair core",Dragon,Acceptable,Acceptable,Acceptable,28,Seeker,-30,1,Yes,No,Time-Turner,225,91,9
,Slytherin,6,"11 inches, holly, phoenix feather core",Dragon,Acceptable,Acceptable,Exceeds Expectations,14,Chaser,114,5,Yes,No,"Extendable Ears, Marauder's Map, Firebolt",434,29,1
Angelina Thomas,Slytherin,6,"12 inches, yew, unicorn hair core",Toad,Outstanding,Poor,Exceeds Expectations,9,,90,1,Yes,No,"Sneakoscope, Invisibility Cloak, Extendable Ears",421,95,0
George Chang,Gryffindor,5,"9 inches, elm, veela hair core",Muggle Born,Exceeds Expectations,Poor,Outstanding,28,Beater,77,3,No,,"Marauder's Map, Extendable Ears",221,61,8
Angelina Boot,Slytherin,5,"12 inches, yew, unicorn hair core",Toad,Poor,Poor,Exceeds Expectations,21,Seeker,-57,0,No,Yes,"Firebolt, Sneakoscope",235,87,1
,Hufflepuff,3,"12 inches, yew, unicorn hair core",,Poor,Outstanding,Outstanding,8,Beater,-36,1,No,No,Invisibility Cloak,273,92,1
,Gryffindor,6,"11 inches, holly, phoenix feather core",Dragon,Outstanding,Acceptable,Outstanding,21,Beater,57,2,Yes,No,"Sneakoscope, Invisibility Cloak",200,43,8
